,bg,on,has,wearing,of,in,near,with,behind,holding,above,sitting on,wears,under,riding,in front of,standing on,at,attached to,carrying,walking on,over,belonging to,for,looking at,watching,hanging from,parked on,laying on,eating,and,covering,using,between,covered in,along,part of,lying on,on back of,to,mounted on,walking in,across,against,from,growing on,painted on,made of,playing,says,flying in
over,0.0,0.5417515274838747,0.018329938899830346,0.0020366598777589273,0.020366598777589274,0.030549898166383913,0.06517311608828567,0.00814663951103571,0.04887983706621426,0.01629327902207142,0.08350305498811603,0.0020366598777589273,0.0,0.006109979633276782,0.004073319755517855,0.0,0.0,0.0020366598777589273,0.0,0.0,0.0,0.14256619144312493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006109979633276782,0.0,0.0,0.0,0.0020366598777589273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
belonging to,0.0,0.18034993270282168,0.001345895020170311,0.0,0.8129205921828678,0.0,0.002691790040340622,0.0,0.002691790040340622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.0,0.4689265536590699,0.03389830508378818,0.0,0.05367231638266462,0.008474576270947045,0.12429378530722333,0.06214689265361167,0.04802259886869993,0.07627118643852342,0.014124293784911743,0.0,0.0,0.04519774011171758,0.0,0.0056497175139646975,0.0,0.0,0.0,0.0,0.0,0.008474576270947045,0.0,0.05084745762568228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
looking at,0.0,0.14899713466621783,0.02005730658968317,0.0028653295128118817,0.0028653295128118817,0.02865329512811882,0.2636103151786931,0.02005730658968317,0.01432664756405941,0.21776504297370297,0.0,0.0,0.0,0.0028653295128118817,0.01719197707687129,0.0,0.0,0.01432664756405941,0.0,0.0,0.0,0.0,0.0,0.0,0.07449856733310892,0.04584527220499011,0.0,0.0,0.0,0.01719197707687129,0.008595988538435646,0.0,0.10028653294841586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
watching,0.0,0.13775510203730215,0.002551020408098188,0.012755102040490941,0.005102040816196376,0.007653061224294565,0.18877551019926592,0.02806122448908007,0.09183673469153478,0.06887755101865108,0.0,0.0,0.0,0.0,0.010204081632392751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0637755102024547,0.38265306121472825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hanging from,0.0,0.8722358722144413,0.01228501228471044,0.0,0.009828009827768353,0.02702702702636297,0.017199017198594617,0.0,0.004914004913884176,0.0,0.0,0.0,0.0,0.004914004913884176,0.0,0.0,0.0,0.0,0.002457002456942088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04914004913884176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parked on,0.0,0.982876712295107,0.0,0.0,0.0,0.0,0.010273972602387877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006849315068258585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laying on,0.0,0.910179640691312,0.008982035927874788,0.005988023951916526,0.0,0.023952095807666104,0.017964071855749577,0.008982035927874788,0.0,0.008982035927874788,0.0,0.014970059879791315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eating,0.0,0.09467455621021673,0.04733727810510836,0.0029585798815692727,0.0,0.01183431952627709,0.03846153846040055,0.05325443786824691,0.0029585798815692727,0.3284023668541893,0.0,0.0,0.0,0.0,0.0,0.0,0.0029585798815692727,0.0029585798815692727,0.0,0.0,0.0,0.0,0.0,0.0,0.0029585798815692727,0.0,0.0,0.0,0.0,0.4112426035381289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and,0.0,0.12499999999421296,0.0972222222177212,0.023148148147076473,0.004629629629415295,0.023148148147076473,0.3657407407238083,0.17592592591778117,0.03703703703532236,0.05555555555298354,0.004629629629415295,0.004629629629415295,0.0,0.00925925925883059,0.00925925925883059,0.0,0.0,0.0,0.0,0.0,0.0,0.00925925925883059,0.0,0.0,0.004629629629415295,0.004629629629415295,0.0,0.0,0.0,0.0,0.046296296294152946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covering,0.0,0.8436213991422378,0.05761316872190892,0.0,0.012345679011837626,0.0041152263372792085,0.03292181069823367,0.0,0.012345679011837626,0.0,0.0041152263372792085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020576131686396038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679011837626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
using,0.0,0.2262443438811654,0.022624434388116545,0.04977375565385639,0.0,0.0,0.013574660632869924,0.004524886877623308,0.004524886877623308,0.3484162895769947,0.0,0.01809954751049323,0.0,0.009049773755246616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013574660632869924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2895927601678917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
between,0.0,0.30555555554140945,0.060185185182398834,0.0,0.00925925925883059,0.00925925925883059,0.4722222222003601,0.00925925925883059,0.0833333333294753,0.004629629629415295,0.0,0.0,0.0,0.00925925925883059,0.0,0.00925925925883059,0.0,0.0,0.00925925925883059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888245885,0.004629629629415295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covered in,0.0,0.21428571427478132,0.19387755101051643,0.0,0.015306122448198668,0.28571428569970847,0.020408163264264888,0.020408163264264888,0.020408163264264888,0.0,0.0,0.0,0.0,0.005102040816066222,0.005102040816066222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005102040816066222,0.0,0.0,0.21428571427478132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
along,0.0,0.4516129031966701,0.0,0.0,0.0,0.07741935483371487,0.3870967741685744,0.0,0.05161290322247659,0.025806451611238294,0.0,0.0,0.0,0.0,0.0,0.006451612902809573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
part of,0.0,0.5563380281298353,0.0,0.0,0.38732394363469547,0.014084507041261653,0.021126760561892485,0.007042253520630827,0.014084507041261653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lying on,0.0,0.8882352940653979,0.0,0.0,0.0,0.0823529411716263,0.023529411763321798,0.0,0.0,0.0,0.0,0.0058823529408304496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on back of,0.0,0.870786516805012,0.0,0.0,0.10112359549993685,0.00561797752777427,0.01123595505554854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01123595505554854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
to,0.0,0.7516339868789781,0.019607843135973343,0.0,0.06535947711991114,0.08496732025588448,0.0457516339839378,0.006535947711991114,0.006535947711991114,0.006535947711991114,0.0,0.0,0.0,0.006535947711991114,0.0,0.0,0.0,0.0,0.006535947711991114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mounted on,0.0,0.9881656804149014,0.0,0.0,0.0059171597629634805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059171597629634805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
