,bg,above,across,against,along,and,at,attached to,behind,belonging to,between,carrying,covered in,covering,eating,flying in,for,from,growing on,hanging from,has,holding,in,in front of,laying on,looking at,lying on,made of,mounted on,near,of,on,on back of,over,painted on,parked on,part of,playing,riding,says,sitting on,standing on,to,under,using,walking in,walking on,watching,wearing,wears,with
between,0.0,0.9175372071329234,0.0012954891816287122,0.0001930927223976755,0.004019964785152715,0.010661973642911661,0.0020907484238487125,2.4332958107205952e-05,0.003594925925863853,0.0004679617441602552,0.04449271216450894,0.003918054739903716,0.0,5.039335905291004e-06,0.010230776086446484,5.884919183791334e-06,6.451424336264303e-05,2.0089130792579224e-05,0.0,2.360309921105114e-06,0.00010860470997409935,0.000991168624735351,0.0,4.2389654343596387e-07,0.0,5.734444153925199e-06,0.0,0.0,0.00025331356784664006,0.0,2.4276194513719015e-08,1.2617434982724604e-06,0.0,0.0,1.4354985038516092e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carrying,0.0,0.5387302731672169,0.0006393690766064691,0.0003984570719471039,1.6603123288864541e-06,0.048228798068127195,0.0003776687731928848,0.0,4.422247772739349e-05,1.7770163293895147e-05,0.0003688906643980677,0.3889574087518033,0.0,0.0,0.021962203763616843,0.0,1.5409275471713035e-06,0.00022268589938141472,0.0,0.0,4.9022008007691616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covered in,0.0,0.0030353741049234024,0.0013158765264589312,0.9942545284017525,0.0,0.00012484794578131267,2.209964146619517e-07,0.0,0.0,0.0010412447468069867,0.0,0.0,3.5922365835556468e-06,1.7470936706471406e-09,0.0,0.0,0.0,4.9321228021647206e-08,0.0,0.00022426990449014622,0.0,5.599740285447724e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covering,0.0,0.33364580490672663,0.00897114450795413,0.0025719374255428877,0.031402728938125214,0.004897829989388128,0.02637906118446979,0.0017608715554161011,0.004657994556449691,0.22941810120637207,1.2578062564724352e-05,0.00014025983622220338,0.0,0.3448416276060568,0.00251832332291141,4.7718778364088575e-05,0.0,0.005262115287561991,0.0,0.00021076617159757456,0.0,1.4881849563394413e-07,0.0,0.0032292980110790992,0.0,1.5646959640757865e-05,0.0,0.0,1.3503020973942084e-06,5.517405035857762e-06,3.294856932479095e-06,0.0,0.0,5.9588138808264475e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eating,0.0,0.448154994163232,1.6649843023649085e-06,0.0003903908511506717,0.0,0.0008095751395896473,9.43953720901376e-06,1.3394048002725763e-08,0.0,0.0004101640352907759,0.0,0.0,0.0,1.1532975941952208e-06,0.5502117757537387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.542176121739792e-07,1.063300943567871e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flying in,0.0,0.6745974838445172,0.00040315239300393044,6.719740459862621e-07,0.01573078906919839,0.015820628473637823,0.13440246273644937,6.3392556049572e-05,0.0516579488532747,0.0037271854134515083,0.002199625195607856,0.0038080989459216476,0.0,0.004498778894358051,0.0005502216749204176,0.07441759810712623,0.0,0.005985932173700654,0.0,0.0005327418423138789,0.0,0.0,0.0,0.006323441767428775,0.0005710591302194323,1.9155015047418144e-05,0.0,0.0,0.0,0.0021937682808526944,0.0,1.4762823066149812e-06,0.002494374688184515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.0,0.8248941628398652,0.01774911066096535,0.026664333478480517,0.0,0.072169358237983,0.0011982035733711187,3.343283239784034e-08,0.00031148822639458614,0.0010413155094330696,0.0,0.005454373619512762,0.0,0.0,0.007449037958701014,0.0,0.030435115206622648,0.0011818298356433949,0.0,0.0,0.011327442129074237,0.0,0.0,0.0,3.131865855854582e-05,0.0,0.0,0.0,0.0,8.91240976505605e-05,0.0,0.0,0.0,0.0,3.7523663456189037e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
from,0.0,0.6287246809392415,0.0014588367609702805,0.0027787378202820136,0.0018757291030938972,0.008209033972470402,0.07272922346941837,0.0,0.0009049775961933611,0.000616799577468707,0.0,0.003176889317047012,0.0,0.0018444659012502268,0.0007484920330137146,0.0001009000048769648,0.00031025925410820807,0.2737928018220028,0.0,0.0,0.00017719935825448032,0.00020662330668920205,0.0,0.0,0.0,6.116618446590756e-05,0.0,0.0,0.0,0.0013291882271023224,0.0,0.0,0.0009539198603845868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
growing on,0.0,0.9032985619926677,0.005758036059208781,0.0,0.07447263238190696,0.0016882545985806615,0.002170789597567328,0.0001352043132243435,8.923107710093868e-05,0.0033973025600128465,0.0006962966721132057,0.0,0.0,0.002269481922245981,0.0,7.529040199083464e-05,0.0,0.0,0.005669644344421351,0.0,0.0,3.725987721828519e-05,0.0,0.0,0.0,0.0,0.00023603285525127215,0.0,0.0,0.0,0.0,0.0,0.0,5.997740090401474e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hanging from,0.0,0.014954988389243933,0.002509694487776399,0.03183101654223836,3.8142302183477112e-06,1.4697203592068395e-05,6.333883647779736e-05,3.5608700388505515e-05,0.00018525791002514208,0.5711315129425037,0.0,0.0,0.0,7.936960762269428e-05,0.0,0.0,0.0,0.0,0.0,0.3791828306430773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.856602395518742e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
