,bg,on,has,wearing,of,in,near,with,behind,holding,above,sitting on,wears,under,riding,in front of,standing on,at,attached to,carrying,walking on,over,belonging to,for,looking at,watching,hanging from,parked on,laying on,eating,and,covering,using,between,covered in,along,part of,lying on,on back of,to,mounted on,walking in,across,against,from,growing on,painted on,made of,playing,says,flying in
walking on,0.0,0.013888888888674556,0.006172839506077579,0.0,0.0015432098765193949,0.012345679012155159,0.0030864197530387897,0.0,0.0,0.0,0.0015432098765193949,0.0015432098765193949,0.0,0.0030864197530387897,0.0,0.0,0.10030864197376067,0.03703703703646548,0.0,0.0,0.7546296296179841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015432098765193949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06172839506077579,0.0,0.0,0.0,0.0,0.0015432098765193949,0.0,0.0,0.0,0.0
over,0.0,0.11812627291001779,0.006109979633276782,0.0020366598777589273,0.01629327902207142,0.03462321792190177,0.03462321792190177,0.006109979633276782,0.04276985743293748,0.012219959266553565,0.12830957229881243,0.00814663951103571,0.0,0.00814663951103571,0.014256619144312492,0.0,0.0020366598777589273,0.00814663951103571,0.010183299388794637,0.004073319755517855,0.0,0.29327902239728554,0.0020366598777589273,0.006109979633276782,0.0,0.0020366598777589273,0.01629327902207142,0.0,0.00814663951103571,0.0020366598777589273,0.01629327902207142,0.10183299388794637,0.0,0.004073319755517855,0.0020366598777589273,0.0224032586553482,0.004073319755517855,0.00814663951103571,0.006109979633276782,0.006109979633276782,0.006109979633276782,0.0,0.020366598777589274,0.0,0.0020366598777589273,0.006109979633276782,0.0020366598777589273,0.0020366598777589273,0.0,0.0020366598777589273,0.0020366598777589273
belonging to,0.0,0.0740242261093671,0.0,0.0,0.8156123822232084,0.001345895020170311,0.0,0.0,0.001345895020170311,0.0,0.0,0.0,0.0,0.0,0.0,0.001345895020170311,0.0,0.0,0.0,0.0,0.0,0.0,0.08882907133124052,0.0,0.001345895020170311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012113055181532799,0.0,0.001345895020170311,0.0,0.0,0.0,0.0,0.0,0.001345895020170311,0.0,0.0,0.001345895020170311,0.0,0.0,0.0
for,0.0,0.11299435027929394,0.0056497175139646975,0.0,0.04237288135473523,0.008474576270947045,0.05649717513964697,0.05367231638266462,0.06214689265361167,0.05367231638266462,0.031073446326805833,0.0,0.0,0.06497175141059401,0.0,0.01977401129887644,0.0,0.0056497175139646975,0.04237288135473523,0.0,0.0,0.011299435027929395,0.0,0.24858757061444667,0.0028248587569823487,0.0,0.011299435027929395,0.0,0.0028248587569823487,0.0,0.008474576270947045,0.0056497175139646975,0.0,0.0028248587569823487,0.0,0.0028248587569823487,0.0056497175139646975,0.0028248587569823487,0.01694915254189409,0.10169491525136456,0.0,0.0,0.0028248587569823487,0.0028248587569823487,0.0,0.0028248587569823487,0.0,0.0056497175139646975,0.0,0.0028248587569823487,0.0
looking at,0.0,0.011461318051247527,0.0028653295128118817,0.0028653295128118817,0.0,0.011461318051247527,0.09455587392279209,0.01432664756405941,0.0057306590256237635,0.10601719197403962,0.0,0.01432664756405941,0.0,0.0057306590256237635,0.06590257879467327,0.02578796561530693,0.02005730658968317,0.01719197707687129,0.0,0.0028653295128118817,0.0028653295128118817,0.0,0.0028653295128118817,0.0,0.2836676217683763,0.11461318051247528,0.0,0.0,0.0,0.02865329512811882,0.02578796561530693,0.0,0.13467048710215843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028653295128118817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028653295128118817
watching,0.0,0.002551020408098188,0.0,0.005102040816196376,0.005102040816196376,0.0,0.020408163264785503,0.007653061224294565,0.022959183672883694,0.012755102040490941,0.0,0.005102040816196376,0.0,0.0,0.04591836734576739,0.002551020408098188,0.012755102040490941,0.0,0.0,0.002551020408098188,0.0,0.0,0.0,0.0,0.20153061223975688,0.5969387754949761,0.0,0.0,0.0,0.005102040816196376,0.035714285713374636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002551020408098188,0.0,0.0,0.0,0.0,0.0,0.0,0.012755102040490941,0.0,0.0
hanging from,0.0,0.17199017198594618,0.01228501228471044,0.0,0.009828009827768353,0.05896805896661013,0.019656019655536705,0.0,0.007371007370826266,0.0,0.004914004913884176,0.0,0.0,0.014742014741652532,0.0,0.004914004913884176,0.002457002456942088,0.0,0.05896805896661013,0.0,0.0,0.019656019655536705,0.0,0.0,0.002457002456942088,0.0,0.3931203931107341,0.0,0.0,0.0,0.0,0.04668304668189968,0.0,0.0,0.0,0.0,0.002457002456942088,0.0,0.041769041768015505,0.0,0.02702702702636297,0.0,0.0,0.002457002456942088,0.004914004913884176,0.09090909090685727,0.002457002456942088,0.0,0.0,0.0,0.0
parked on,0.0,0.07191780821671515,0.0,0.0,0.0034246575341292927,0.0,0.0,0.0,0.0034246575341292927,0.0,0.0,0.0034246575341292927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9109589040783918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034246575341292927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034246575341292927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laying on,0.0,0.14970059879791314,0.002994011975958263,0.0,0.0,0.02994011975958263,0.005988023951916526,0.008982035927874788,0.0,0.002994011975958263,0.05089820359129047,0.05988023951916526,0.0,0.0,0.04191616766341568,0.002994011975958263,0.044910179639373944,0.0,0.0,0.002994011975958263,0.06586826347108178,0.002994011975958263,0.0,0.0,0.002994011975958263,0.0,0.0,0.0,0.17964071855749578,0.002994011975958263,0.0,0.0,0.0,0.002994011975958263,0.0,0.0,0.0,0.33832335328328367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eating,0.0,0.005917159763138545,0.01183431952627709,0.0029585798815692727,0.0,0.026627218934123453,0.02071005917098491,0.008875739644707819,0.0029585798815692727,0.14792899407846363,0.0,0.0,0.0,0.0029585798815692727,0.0,0.0,0.05325443786824691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05325443786824691,0.0029585798815692727,0.0,0.0,0.005917159763138545,0.6479289940636707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029585798815692727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029585798815692727,0.0,0.0
and,0.0,0.023148148147076473,0.032407407405907064,0.004629629629415295,0.0,0.023148148147076473,0.11574074073538237,0.14814814814128943,0.023148148147076473,0.04166666666473765,0.013888888888245885,0.004629629629415295,0.013888888888245885,0.00925925925883059,0.01851851851766118,0.01851851851766118,0.0,0.013888888888245885,0.0,0.00925925925883059,0.0,0.01851851851766118,0.0,0.0,0.10185185184713648,0.06481481481181413,0.0,0.0,0.0,0.0,0.23611111110018004,0.023148148147076473,0.0,0.00925925925883059,0.0,0.004629629629415295,0.0,0.004629629629415295,0.0,0.004629629629415295,0.0,0.0,0.0,0.004629629629415295,0.00925925925883059,0.0,0.004629629629415295,0.0,0.0,0.0,0.0
