,bg,on,has,wearing,of,in,near,with,behind,holding,above,sitting on,wears,under,riding,in front of,standing on,at,attached to,carrying,walking on,over,belonging to,for,looking at,watching,hanging from,parked on,laying on,eating,and,covering,using,between,covered in,along,part of,lying on,on back of,to,mounted on,walking in,across,against,from,growing on,painted on,made of,playing,says,flying in
on back of,0,0.505618,0,0,0.13483146,0.011235955,0,0,0,0,0,0.033707865,0,0,0.028089888,0,0.005617978,0,0.005617978,0.005617978,0,0,0,0.005617978,0,0,0.016853932,0,0.005617978,0,0.005617978,0,0,0,0,0.005617978,0,0.005617978,0.18539326,0.011235955,0,0,0,0,0,0,0.028089888,0,0,0,0
to,0,0.19607843,0.013071896,0,0.09150327,0.026143791,0.019607844,0.019607844,0,0.006535948,0,0,0,0,0.006535948,0.006535948,0.013071896,0,0.019607844,0,0,0,0,0.019607844,0,0,0,0,0,0.006535948,0,0.026143791,0,0,0,0,0,0,0.006535948,0.49019608,0,0,0,0.006535948,0,0.006535948,0,0.006535948,0,0,0.013071896
mounted on,0,0.52662724,0,0,0.082840234,0,0,0,0,0,0,0,0,0.01775148,0.00591716,0,0,0.00591716,0.10059172,0,0,0,0,0.01183432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02366864,0.01775148,0.17159763,0,0,0,0,0,0.00591716,0,0,0.00591716,0.02366864
walking in,0,0,0,0.053097345,0,0.053097345,0.008849558,0,0.008849558,0,0,0.008849558,0.008849558,0,0,0.061946902,0.123893805,0,0,0,0.18584071,0,0,0,0.008849558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42477876,0,0,0,0,0,0,0,0,0.053097345
across,0,0.036585364,0,0,0.024390243,0.06097561,0.048780486,0,0.036585364,0,0,0.024390243,0,0,0,0,0.024390243,0.024390243,0.024390243,0,0.024390243,0.024390243,0,0,0,0,0.012195122,0.17073171,0,0,0.012195122,0.012195122,0,0,0,0.12195122,0,0.024390243,0,0,0,0.036585364,0.24390244,0,0,0,0,0,0,0,0.012195122
against,0,0.028985508,0,0,0.028985508,0.057971016,0.10144927,0.014492754,0.057971016,0.014492754,0,0.028985508,0,0,0,0.11594203,0.04347826,0.028985508,0.014492754,0,0,0.014492754,0,0,0,0,0.014492754,0,0.028985508,0,0,0,0,0,0.057971016,0.014492754,0,0,0,0.028985508,0,0,0,0.23188406,0,0,0,0.014492754,0.014492754,0,0.04347826
from,0,0.23469388,0,0,0.08163265,0.05102041,0.020408163,0,0,0,0.010204081,0,0,0,0.010204081,0,0,0,0.06122449,0,0,0.010204081,0.010204081,0,0,0,0.030612245,0,0.010204081,0,0,0.020408163,0,0.010204081,0,0,0.010204081,0,0,0,0,0,0,0,0.21428572,0.1632653,0,0,0,0.010204081,0.040816326
growing on,0,0.22772278,0,0,0,0.01980198,0.04950495,0,0.03960396,0,0.00990099,0,0,0,0,0,0,0,0,0,0,0,0.01980198,0,0,0,0.10891089,0,0,0,0,0.00990099,0,0.01980198,0.00990099,0.02970297,0,0,0,0,0,0,0,0.00990099,0.00990099,0.42574257,0,0,0,0,0.00990099
painted on,0,0.3529412,0,0,0,0.11764706,0,0,0.009803922,0,0,0.009803922,0,0,0,0.009803922,0.009803922,0,0,0,0,0,0,0,0.009803922,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019607844,0,0,0,0.019607844,0.009803922,0,0,0.4019608,0,0,0.009803922,0.019607844
made of,0,0.027027028,0.027027028,0,0.027027028,0.054054055,0.027027028,0.054054055,0.027027028,0,0,0,0,0,0,0.054054055,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027027028,0,0.027027028,0,0,0,0,0,0.054054055,0,0,0,0,0,0.027027028,0,0,0,0.4054054,0,0.13513513,0.027027028
playing,0,0.03448276,0.03448276,0.03448276,0,0.03448276,0,0,0,0.1724138,0,0,0,0,0,0,0.03448276,0.03448276,0,0,0,0,0,0,0.10344828,0.03448276,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03448276,0,0,0,0,0,0,0,0,0.41379312,0,0.03448276
says,0,0,0.083333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333336,0,0,0.8333333,0
flying in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
